open_time,open,high,low,close,volume
1750118400000,1757.0,1768.0,1725.0,1744.4,601112.0
1750204800000,1745.0,1755.0,1725.0,1732.8,384774.0
1750291200000,1733.0,1740.0,1703.0,1733.0,832422.0
1750377600000,1730.2,1738.0,1710.2,1715.4,315789.0
1750636800000,1729.4,1729.4,1701.0,1701.8,553626.0
1750723200000,1701.0,1719.4,1669.0,1717.8,683009.0
1750809600000,1719.6,1761.0,1710.4,1755.6,771545.0
1750896000000,1759.0,1799.2,1751.2,1790.0,842664.0
1750982400000,1768.0,1799.0,1756.0,1797.2,990663.0
1751068800000,1790.4,1812.4,1784.8,1796.2,60592.0
1751155200000,1796.2,1798.4,1784.0,1784.8,46440.0
1751241600000,1783.8,1831.0,1778.0,1817.4,702425.0
1751328000000,1819.0,1894.4,1813.2,1865.0,1554022.0
1751414400000,1865.2,1889.0,1829.4,1867.0,971596.0
1751500800000,1858.4,1880.0,1839.4,1851.6,598365.0
1751587200000,1855.8,1916.8,1848.0,1908.0,1415565.0
1751673600000,1908.0,1911.4,1901.2,1905.0,32161.0
1751760000000,1904.4,1906.8,1900.4,1903.6,24395.0
1751846400000,1897.8,1899.6,1866.2,1882.0,723182.0
1751932800000,1880.2,1888.6,1841.0,1845.2,760412.0
1752019200000,1840.2,1851.4,1802.4,1828.4,941250.0
1752105600000,1830.0,1877.2,1822.8,1860.8,583113.0
1752192000000,1863.0,1867.0,1777.0,1790.0,1270948.0
1752278400000,1797.8,1798.8,1782.6,1784.2,28707.0
1752364800000,1785.0,1787.0,1771.0,1780.0,26694.0
1752451200000,1787.0,1838.4,1750.2,1837.6,1108760.0
1752537600000,1839.6,1888.0,1835.8,1862.0,720223.0
1752624000000,1862.0,1900.8,1841.0,1884.4,777626.0
1752710400000,1884.2,1900.0,1872.2,1891.0,413572.0
1752796800000,1897.6,1948.2,1854.0,1873.0,1653670.0
1752883200000,1880.2,1889.4,1870.4,1877.4,68083.0
1752969600000,1885.0,1888.8,1870.0,1877.8,46965.0
1753056000000,1877.8,1955.0,1875.0,1943.2,1233070.0
1753142400000,1945.0,1973.6,1925.6,1970.0,890945.0
1753228800000,1964.0,1991.6,1960.6,1968.8,885103.0
1753315200000,1961.0,1983.2,1951.4,1973.0,637158.0
1753401600000,1970.0,1978.0,1907.4,1914.6,877967.0
1753488000000,1919.0,1939.2,1915.4,1926.6,68467.0
1753574400000,1926.6,1929.6,1916.2,1917.4,30244.0
1753660800000,1926.6,1956.4,1903.0,1931.0,734370.0
1753747200000,1936.8,2011.0,1929.0,1987.0,1748124.0
1753833600000,1994.6,2007.0,1930.0,1930.8,1031622.0
