open_time,open,high,low,close,volume
1750118400000,311.61,314.93,310.5,313.56,23302090.0
1750204800000,313.56,314.82,311.63,313.38,17607700.0
1750291200000,313.41,316.45,312.14,312.46,30310650.0
1750377600000,312.46,313.59,309.3,309.7,22045200.0
1750636800000,310.9,311.44,308.04,310.17,15950290.0
1750723200000,310.3,312.02,309.0,311.37,18994470.0
1750809600000,311.65,314.29,311.57,313.78,20230110.0
1750896000000,313.8,314.5,312.74,312.84,12976890.0
1750982400000,313.03,315.5,313.0,315.18,19035650.0
1751068800000,315.2,315.67,315.11,315.31,890790.0
1751155200000,315.32,317.5,315.31,315.95,2641730.0
1751241600000,315.95,317.7,314.6,316.15,26600320.0
1751328000000,316.69,319.6,316.3,318.42,21887840.0
1751414400000,318.96,319.85,317.41,319.43,20701250.0
1751500800000,319.53,321.5,318.74,319.17,20286790.0
1751587200000,318.85,321.41,317.5,319.44,17811390.0
1751673600000,319.5,320.6,319.5,319.55,671870.0
1751760000000,319.65,319.7,319.29,319.37,416040.0
1751846400000,319.38,319.94,312.82,313.5,29913000.0
1751932800000,313.34,315.31,309.6,309.71,25532140.0
1752019200000,310.01,312.3,307.6,310.09,29871070.0
1752105600000,310.77,315.07,310.5,314.01,23711960.0
1752192000000,314.5,317.88,308.85,309.88,39276450.0
1752278400000,310.0,311.0,310.0,310.2,873720.0
1752364800000,310.5,310.91,308.8,309.44,1066040.0
1752451200000,308.96,318.85,304.38,317.97,59042270.0
1752537600000,318.16,320.43,316.6,319.99,40470270.0
1752624000000,320.0,322.0,319.54,321.58,36861670.0
1752710400000,321.26,329.23,321.19,327.05,91182020.0
1752796800000,300.45,309.4,300.25,309.0,115982520.0
1752883200000,309.69,313.91,309.59,312.42,9029970.0
1752969600000,313.49,313.78,312.05,312.58,4921320.0
1753056000000,312.99,314.56,309.31,310.4,44824260.0
1753142400000,310.65,311.72,308.55,310.67,26942000.0
1753228800000,311.0,314.49,310.78,313.08,37399400.0
1753315200000,313.09,313.99,309.75,310.83,27841890.0
1753401600000,310.86,311.76,306.0,308.93,50866870.0
1753488000000,309.35,309.95,308.86,308.91,1339260.0
1753574400000,308.86,309.15,308.12,308.83,1768030.0
1753660800000,309.44,309.45,303.54,303.97,38627240.0
1753747200000,304.77,308.26,303.05,305.26,30696940.0
1753833600000,305.58,306.2,303.2,303.3,14499120.0
1753920000000,303.9,305.79,302.81,304.95,19884770.0
1754006400000,305.41,307.5,302.89,304.22,25320049.0
1754265600000,305.3,308.12,304.5,307.95,28420639.0
1754352000000,307.97,308.67,305.25,307.38,21497509.0
1754438400000,307.4,312.96,303.33,310.22,59949361.0
1754524800000,310.22,316.5,308.76,313.43,72089666.0
1754611200000,314.68,317.98,312.6,317.97,34959877.0
1754870400000,321.72,322.9,317.05,317.82,42436965.0
1754956800000,318.17,318.99,316.6,318.0,18765577.0
1755043200000,318.0,319.7,317.05,317.51,21127896.0
1755129600000,317.6,319.2,314.81,318.73,26459276.0
1755216000000,318.9,320.5,318.45,319.4,26071682.0
1755302400000,316.86,316.88,310.03,315.17,10296497.0
1755388800000,315.5,315.8,314.8,314.97,1902692.0
1755475200000,315.01,319.89,314.3,318.38,35044641.0
1755561600000,318.98,319.73,316.29,316.5,21879576.0
1755648000000,316.53,317.51,313.02,314.17,18653270.0
1755734400000,314.17,315.1,309.28,309.98,30815394.0
1755820800000,310.11,312.49,309.75,312.05,15495808.0
1755907200000,312.11,312.5,311.55,312.3,567839.0
1755993600000,312.3,312.45,311.5,311.84,730827.0
1756080000000,311.84,312.3,308.75,311.42,15298883.0
1756166400000,311.11,314.0,310.5,311.79,11297232.0
1756252800000,312.0,313.78,311.06,312.78,11692831.0
1756339200000,313.03,314.5,310.12,310.82,20309447.0
1756425600000,311.18,311.82,308.95,310.04,14855695.0
1756512000000,309.99,310.54,309.71,309.92,780762.0
1756598400000,309.92,311.24,309.92,310.99,1093718.0
1756684800000,310.86,312.5,308.82,309.2,11045087.0
1756771200000,309.2,310.1,307.05,308.44,17407779.0
1756857600000,308.45,309.68,307.21,309.49,10482402.0
1756944000000,309.6,310.8,307.5,308.74,12848837.0
1757030400000,309.1,311.16,308.8,310.5,11650553.0
1757116800000,310.5,310.9,310.1,310.13,654610.0
1757203200000,310.13,311.0,310.13,310.69,734383.0
1757289600000,310.44,313.26,310.31,312.83,16963643.0
1757376000000,313.0,314.25,311.62,313.06,17116843.0
1757462400000,313.65,313.65,309.0,309.76,19292572.0
1757548800000,309.76,310.77,305.8,307.11,29436347.0
1757635200000,307.5,308.72,302.53,303.5,39315303.0
1757721600000,303.61,303.8,302.65,302.84,1279027.0
1757808000000,303.18,304.25,302.72,303.97,1566130.0
1757894400000,304.0,304.75,300.71,302.48,21943886.0
1757980800000,303.0,304.2,299.7,301.8,26108050.0
1758067200000,301.8,305.92,299.8,304.5,31421531.0
1758153600000,304.8,305.05,300.66,301.68,27536729.0
1758240000000,301.6,303.8,294.61,294.84,38919790.0
1758499200000,295.86,299.3,292.16,298.05,41184639.0
1758585600000,298.26,300.11,290.39,291.6,33989319.0
1758672000000,291.8,296.64,288.4,293.31,47845030.0
1758758400000,293.87,294.89,289.5,289.9,20998024.0
1758844800000,290.2,292.79,288.52,291.33,22643314.0
1758931200000,291.03,292.0,291.03,291.69,723038.0
1759017600000,291.69,291.85,290.95,291.08,596818.0
1759104000000,291.4,295.5,286.5,287.57,34950615.0
1759190400000,287.67,289.88,285.24,288.36,29382368.0
1759276800000,288.88,290.39,285.11,286.4,22897705.0
1759363200000,286.4,287.15,282.8,285.22,28023440.0
1759449600000,285.75,287.32,282.58,282.91,17098575.0
1759536000000,283.0,283.0,279.39,280.4,5632692.0
1759622400000,280.4,282.13,279.14,281.99,2450371.0
1759708800000,282.39,291.17,281.82,290.56,36480863.0
1759795200000,290.0,295.87,288.75,293.89,37893983.0
1759881600000,293.93,295.0,278.0,281.9,75222569.0
1759968000000,282.8,290.45,278.75,289.37,76179258.0
1760054400000,289.9,289.95,284.1,285.12,34168796.0
1760140800000,284.4,285.31,282.22,285.16,2386239.0
1760227200000,285.12,286.85,285.0,286.81,1662362.0
1760313600000,286.99,288.75,282.35,285.39,33206410.0
1760400000000,285.5,286.99,282.05,283.3,22304284.0
1760486400000,283.93,285.39,282.0,283.74,22412693.0
1760572800000,283.9,304.0,282.4,302.91,94011501.0
1760659200000,303.23,305.0,299.76,300.91,45293894.0
1760745600000,301.3,304.8,301.3,304.18,6838786.0
1760832000000,304.22,304.87,302.24,303.03,3301013.0
