open_time,open,high,low,close,volume
1750118400000,1024.0,1079.0,1018.2,1073.0,2611236.0
1750204800000,1077.0,1089.8,1052.4,1061.8,3899657.0
1750291200000,1061.2,1075.2,1045.4,1056.6,2650698.0
1750377600000,1057.6,1068.4,1032.0,1040.8,1896583.0
1750636800000,1050.0,1062.8,1033.2,1039.6,2227180.0
1750723200000,1039.8,1053.2,1023.0,1046.6,2603609.0
1750809600000,1049.0,1094.0,1048.0,1090.8,3994648.0
1750896000000,1090.8,1092.8,1077.6,1078.0,2126210.0
1750982400000,1080.0,1093.8,1070.6,1091.0,2829059.0
1751068800000,1090.8,1098.8,1090.0,1092.8,174330.0
1751155200000,1092.2,1100.0,1090.0,1092.0,230287.0
1751241600000,1090.6,1105.0,1082.0,1097.6,2168901.0
1751328000000,1099.8,1123.8,1096.2,1111.0,3060162.0
1751414400000,1113.0,1122.8,1090.8,1093.8,2595663.0
1751500800000,1094.8,1102.8,1071.4,1073.4,2638005.0
1751587200000,1071.2,1073.4,1042.6,1050.2,2786980.0
1751673600000,1052.6,1054.8,1049.4,1053.4,79700.0
1751760000000,1053.2,1053.2,1047.4,1047.8,44534.0
1751846400000,1047.8,1055.2,1026.0,1030.2,2142027.0
1751932800000,1031.2,1046.6,1010.0,1016.4,1919097.0
1752019200000,1016.4,1039.6,1011.0,1032.8,2309023.0
1752105600000,1036.0,1045.8,1025.2,1037.0,1433331.0
1752192000000,1038.0,1042.0,989.0,991.4,3642344.0
1752278400000,993.8,997.0,993.0,995.2,147968.0
1752364800000,994.0,996.6,985.4,988.0,135385.0
1752451200000,987.0,1038.0,966.6,1031.2,4927916.0
1752537600000,1036.0,1052.2,1031.0,1046.8,2289189.0
1752624000000,1049.0,1055.0,1037.4,1044.2,2051760.0
1752710400000,1045.0,1060.8,1031.2,1034.0,2398228.0
1752796800000,1037.4,1082.2,1034.4,1082.0,3447097.0
1752883200000,1081.8,1107.8,1080.2,1096.4,676851.0
1752969600000,1106.4,1108.4,1096.2,1102.2,238450.0
1753056000000,1100.0,1109.0,1086.2,1091.6,2110323.0
1753142400000,1094.8,1095.8,1075.0,1085.0,1809788.0
1753228800000,1085.0,1090.8,1066.2,1071.4,3075022.0
1753315200000,1072.0,1084.0,1064.2,1073.2,1823208.0
1753401600000,1076.0,1086.2,1046.8,1052.8,3304290.0
1753488000000,1056.4,1060.2,1052.8,1056.8,95926.0
1753574400000,1055.4,1057.2,1050.2,1052.0,55051.0
1753660800000,1050.0,1050.6,1012.4,1024.8,3484349.0
1753747200000,1023.8,1034.4,1019.6,1028.0,1770959.0
1753833600000,1028.2,1028.6,1013.2,1018.8,1116132.0
1753920000000,1019.0,1025.0,1008.8,1014.2,1533056.0
1754006400000,1017.6,1030.0,1003.0,1014.0,2746251.0
1754265600000,1018.8,1059.0,1013.0,1058.2,3389828.0
1754352000000,1060.0,1063.4,1041.6,1058.6,2665898.0
1754438400000,1058.8,1097.6,1035.4,1083.8,5382281.0
1754524800000,1084.0,1176.0,1072.2,1138.0,17772183.0
1754611200000,1140.0,1200.0,1120.0,1195.8,8595193.0
1754870400000,1224.6,1234.4,1205.2,1222.0,9011414.0
1754956800000,1222.0,1252.8,1206.8,1244.0,4882479.0
1755043200000,1242.0,1260.0,1230.0,1241.2,5896981.0
1755129600000,1241.6,1273.4,1221.2,1264.4,6765802.0
1755216000000,1265.0,1293.0,1251.4,1278.8,6685289.0
1755302400000,1239.4,1251.2,1239.4,1243.2,2047179.0
1755388800000,1240.4,1242.4,1239.4,1239.4,227932.0
1755475200000,1224.2,1303.6,1222.2,1269.8,8060106.0
1755561600000,1275.0,1284.0,1239.2,1250.6,5851408.0
1755648000000,1251.8,1257.2,1210.2,1215.0,5222716.0
1755734400000,1217.0,1217.2,1158.0,1164.0,9486987.0
1755820800000,1164.0,1188.8,1151.4,1184.8,4999103.0
1755907200000,1186.2,1197.0,1186.0,1189.0,571097.0
1755993600000,1181.6,1184.8,1167.0,1171.0,578335.0
1756080000000,1172.6,1179.6,1155.0,1171.2,3550868.0
1756166400000,1170.0,1194.0,1164.6,1172.0,3117712.0
1756252800000,1172.0,1227.8,1163.2,1225.2,7476001.0
1756339200000,1225.4,1243.6,1205.4,1217.0,8978543.0
1756425600000,1220.4,1244.2,1217.6,1238.4,5034696.0
1756512000000,1238.4,1242.0,1231.0,1238.8,314107.0
1756598400000,1239.0,1242.4,1236.8,1242.0,219045.0
1756684800000,1246.0,1253.0,1221.2,1225.6,2803952.0
1756771200000,1229.0,1234.4,1201.0,1220.0,5037477.0
1756857600000,1220.2,1229.6,1205.2,1226.8,2759958.0
1756944000000,1227.0,1245.0,1213.6,1226.6,3469000.0
1757030400000,1228.0,1245.6,1226.4,1239.8,2458261.0
1757116800000,1243.2,1244.4,1240.4,1243.6,106877.0
1757203200000,1244.0,1244.4,1237.4,1240.0,151801.0
1757289600000,1241.0,1244.8,1226.6,1237.4,2251047.0
1757376000000,1238.4,1252.8,1237.0,1250.8,2537453.0
1757462400000,1252.4,1252.6,1222.2,1231.0,2186729.0
1757548800000,1234.0,1234.0,1207.2,1219.4,2697488.0
1757635200000,1220.8,1225.0,1193.0,1201.0,3434997.0
1757721600000,1203.0,1209.0,1200.0,1201.0,221529.0
1757808000000,1201.0,1207.4,1198.0,1205.8,118600.0
1757894400000,1205.8,1208.8,1184.0,1198.8,2564435.0
1757980800000,1198.8,1216.0,1188.2,1207.2,3338672.0
1758067200000,1207.6,1230.0,1200.2,1228.0,2535492.0
1758153600000,1230.4,1238.0,1202.0,1207.2,3871131.0
1758240000000,1208.0,1215.0,1162.2,1167.2,3841761.0
1758499200000,1168.0,1176.0,1107.8,1156.0,6623092.0
1758585600000,1156.0,1167.4,1111.8,1117.2,4440060.0
1758672000000,1119.8,1134.4,1085.4,1127.6,5003937.0
1758758400000,1128.2,1133.0,1112.0,1119.4,2030573.0
1758844800000,1119.8,1123.0,1098.4,1114.2,2496308.0
1758931200000,1114.2,1118.6,1113.6,1117.2,27519.0
1759017600000,1118.2,1120.6,1114.6,1117.2,55401.0
1759104000000,1118.0,1141.8,1092.4,1099.4,3545070.0
1759190400000,1099.0,1109.4,1086.2,1101.8,2767680.0
1759276800000,1105.0,1154.4,1100.0,1116.8,3986462.0
1759363200000,1117.0,1128.8,1107.0,1114.8,2401086.0
1759449600000,1114.6,1126.0,1075.0,1084.0,3238080.0
1759708800000,1053.6,1083.4,1042.6,1083.2,4647084.0
1759795200000,1078.2,1088.4,1065.4,1073.6,2290747.0
1759881600000,1075.0,1078.6,1012.0,1022.2,4721540.0
1759968000000,1029.2,1062.0,1002.4,1056.6,4186488.0
1760054400000,1056.0,1067.2,1027.2,1035.6,2440225.0
1760140800000,1034.0,1034.8,1020.2,1031.8,230985.0
1760227200000,1031.8,1043.2,1031.4,1039.0,110427.0
1760313600000,1040.2,1057.8,1024.2,1033.8,2609741.0
1760400000000,1037.0,1062.8,1021.4,1049.6,2808260.0
1760486400000,1050.2,1101.2,1040.2,1076.4,4309310.0
1760572800000,1077.0,1184.0,1055.2,1162.0,8459993.0
1760659200000,1165.2,1178.8,1142.2,1158.4,4530642.0
1760745600000,1168.6,1177.4,1161.6,1172.2,556133.0
1760832000000,1173.0,1174.8,1157.0,1167.6,271771.0
1760918400000,1170.0,1174.2,1151.6,1159.6,1792113.0
1761004800000,1159.4,1161.0,1080.0,1116.4,4976772.0
1761091200000,1116.4,1128.6,1059.8,1084.4,4147622.0
1761177600000,1052.0,1078.2,1052.0,1077.2,2248748.0
1761264000000,1080.0,1083.4,1040.0,1057.6,2605759.0
1761523200000,1057.8,1057.8,1022.0,1026.6,2114996.0
1761609600000,1026.6,1057.6,1016.2,1052.2,2042533.0
1761696000000,1054.4,1074.0,1045.0,1057.6,1457466.0
1761782400000,1060.6,1072.4,1047.4,1067.2,1864706.0
1761868800000,1067.2,1072.0,1037.0,1044.8,1153080.0
1761955200000,1042.2,1052.4,1042.0,1044.8,405095.0
1762128000000,1052.2,1069.6,1047.8,1066.0,660362.0
1762300800000,1065.0,1075.0,1046.2,1055.4,1456667.0
1762387200000,1055.0,1060.4,1046.4,1060.2,888432.0
1762473600000,1058.8,1085.4,1050.0,1077.8,1947927.0
1762560000000,1079.0,1082.0,1076.2,1077.8,55334.0
1762646400000,1079.8,1082.6,1076.8,1082.4,40051.0
1762732800000,1084.4,1089.8,1067.4,1075.8,1608672.0
1762819200000,1074.4,1093.8,1071.0,1088.8,1260046.0
1762905600000,1088.8,1090.0,1071.8,1075.0,1008833.0
1762992000000,1076.0,1093.0,1073.8,1086.4,1366446.0
1763078400000,1086.4,1090.8,1071.2,1077.4,1026290.0
1763164800000,1077.8,1079.4,1076.8,1077.8,33169.0
1763251200000,1077.8,1080.0,1064.4,1068.0,99549.0
1763337600000,1068.0,1068.0,1048.4,1049.6,1433493.0
1763424000000,1048.8,1095.0,1045.0,1073.0,3534064.0
1763510400000,1076.6,1127.4,1075.8,1117.8,4563664.0
1763596800000,1115.6,1169.0,1106.2,1162.0,4599607.0
1763683200000,1161.8,1174.8,1131.2,1159.4,3587543.0
1763942400000,1175.0,1189.0,1133.8,1147.0,3101946.0
1764028800000,1147.0,1171.8,1130.0,1158.8,3171549.0
1764115200000,1158.4,1158.6,1143.0,1145.4,956219.0
1764201600000,1145.4,1152.4,1108.8,1119.2,2256825.0
1764288000000,1119.2,1168.8,1116.0,1166.4,2963365.0
1764374400000,1164.0,1173.4,1155.4,1170.0,435141.0
1764460800000,1170.0,1178.6,1167.0,1175.8,477347.0
1764547200000,1170.0,1196.2,1158.4,1183.0,3591567.0
1764633600000,1183.0,1194.0,1166.0,1178.0,2373392.0
1764720000000,1153.8,1161.8,1134.8,1149.2,2943638.0
1764806400000,1154.0,1170.0,1152.8,1153.6,1422893.0
1764892800000,1155.8,1197.2,1155.0,1194.4,2710320.0
1765152000000,1192.6,1202.8,1170.2,1171.6,2620806.0
1765238400000,1173.0,1210.4,1168.2,1199.6,3235423.0
1765324800000,1200.0,1204.6,1189.0,1194.8,1490958.0
1765411200000,1197.0,1240.6,1195.6,1223.0,5481461.0
1765497600000,1219.8,1228.4,1193.2,1196.4,3060726.0
1765584000000,1206.8,1211.8,1204.4,1209.4,260243.0
1765670400000,1208.8,1209.0,1197.0,1203.0,264037.0
1765756800000,1212.0,1225.0,1201.8,1216.0,2485595.0
1765843200000,1219.8,1231.0,1211.4,1224.4,1753371.0
1765929600000,1226.4,1234.6,1201.2,1215.8,2540331.0
1766016000000,1220.0,1220.6,1200.0,1206.0,2536180.0
1766102400000,1211.8,1219.0,1185.2,1205.0,3592521.0
1766188800000,1206.0,1212.2,1200.2,1207.6,178188.0
