open_time,open,high,low,close,volume
1750118400000,187.14,189.52,186.48,187.97,4009570.0
1750204800000,188.2,191.5,187.9,190.42,5233240.0
1750291200000,190.45,193.27,188.81,191.6,7699410.0
1750377600000,191.6,192.0,190.07,190.7,3478200.0
1750636800000,190.75,192.9,189.56,190.65,4045400.0
1750723200000,190.94,195.94,190.31,195.7,6648810.0
1750809600000,195.99,199.85,195.84,198.74,9186330.0
1750896000000,198.96,199.82,196.33,197.18,6301470.0
1750982400000,197.2,199.41,196.85,199.01,4793060.0
1751068800000,199.3,199.9,199.11,199.46,383700.0
1751155200000,199.46,199.89,199.46,199.46,475380.0
1751241600000,199.9,201.49,199.6,200.7,6080080.0
1751328000000,200.85,201.74,199.42,200.61,5928940.0
1751414400000,200.51,202.27,198.1,201.2,7820470.0
1751500800000,201.16,201.76,198.88,199.11,3730910.0
1751587200000,199.0,199.0,196.52,198.28,4871590.0
1751673600000,199.0,199.13,198.2,198.88,279590.0
1751760000000,198.88,198.99,198.4,198.64,125860.0
1751846400000,198.64,199.0,193.01,193.75,11829030.0
1751932800000,193.43,194.5,191.69,192.19,7621050.0
1752019200000,191.62,194.68,188.26,193.14,19753830.0
1752105600000,169.86,175.19,168.72,172.73,24526570.0
1752192000000,172.73,174.85,169.01,169.23,9529300.0
1752278400000,169.9,170.6,169.3,169.68,333810.0
1752364800000,170.07,170.54,169.25,170.0,335150.0
1752451200000,169.2,174.78,165.32,172.57,11213220.0
1752537600000,173.8,175.2,170.71,171.01,8721940.0
1752624000000,171.01,172.76,170.11,172.07,6205560.0
1752710400000,172.67,173.75,170.15,170.18,5438940.0
1752796800000,170.18,174.03,169.44,173.99,8391810.0
1752883200000,174.59,178.0,174.56,177.2,4219570.0
1752969600000,178.73,179.14,177.5,178.98,1900220.0
1753056000000,179.88,179.88,176.25,177.47,8541300.0
1753142400000,177.78,180.25,176.56,179.57,6849160.0
1753228800000,179.88,181.63,178.58,178.67,8672340.0
1753315200000,178.68,179.79,177.5,179.0,4137790.0
1753401600000,179.0,180.98,177.01,177.9,9028440.0
1753488000000,178.13,179.0,178.13,178.56,284250.0
1753574400000,178.91,178.91,178.0,178.38,221530.0
1753660800000,178.5,178.5,174.25,174.95,6698740.0
1753747200000,174.95,177.19,173.75,175.77,5011650.0
1753833600000,175.38,176.5,173.5,174.19,2979520.0
1753920000000,173.87,175.34,173.06,174.3,2402930.0
1754006400000,174.33,176.11,173.21,174.3,4131860.0
1754265600000,174.5,176.67,173.76,176.65,3454610.0
1754352000000,176.25,177.7,175.16,176.67,3723700.0
1754438400000,177.4,180.55,174.0,178.63,10635460.0
1754524800000,179.22,184.0,177.36,180.43,15866520.0
1754611200000,180.67,183.4,179.21,182.88,8876210.0
1754870400000,184.1,186.7,181.82,183.49,13157010.0
1754956800000,183.5,185.25,182.04,184.5,5878710.0
1755043200000,184.92,186.1,184.17,184.4,5446910.0
1755129600000,185.2,188.48,183.13,186.73,12111160.0
1755216000000,187.53,188.4,186.34,187.66,6462060.0
1755302400000,185.0,185.38,182.09,183.57,2318310.0
1755388800000,183.67,183.82,183.12,183.35,429490.0
1755475200000,183.5,187.96,182.6,186.35,8064970.0
1755561600000,187.3,187.89,185.8,186.28,6006000.0
1755648000000,186.1,187.2,184.3,185.29,4388360.0
1755734400000,185.44,185.67,181.04,181.75,3952550.0
1755820800000,181.85,185.0,181.18,184.18,4363480.0
1755907200000,184.18,184.58,183.69,183.9,124310.0
1755993600000,183.91,184.0,183.11,183.39,252440.0
1756080000000,183.15,183.55,179.78,182.2,3667280.0
1756166400000,182.2,183.3,180.55,181.76,2799540.0
1756252800000,181.38,182.69,181.1,181.93,2035790.0
1756339200000,181.95,182.43,179.55,180.09,2309030.0
1756425600000,179.91,181.0,178.76,179.0,2421840.0
1756512000000,179.04,179.59,179.03,179.37,121360.0
1756598400000,179.37,179.7,179.35,179.6,101500.0
1756684800000,179.6,181.0,177.1,177.59,4069490.0
1756771200000,177.58,177.93,173.83,176.3,4752100.0
1756857600000,176.36,176.8,174.6,176.07,2093470.0
1756944000000,176.04,176.97,174.4,175.94,2287480.0
1757030400000,176.0,176.9,175.32,175.45,2383130.0
1757116800000,175.45,175.84,175.31,175.65,82580.0
1757203200000,175.65,176.02,175.5,175.88,135610.0
1757289600000,175.96,178.0,175.7,177.81,3427720.0
