open_time,open,high,low,close,volume
1750046400000,5949.0,6055.25,5944.0,6035.75,1744867.0
1750132800000,6038.5,6040.5,5976.75,5985.0,870571.0
1750219200000,5977.25,6020.75,5964.75,5981.5,0.0
1750392000000,5984.0,6019.25,5918.25,6010.2099609375,1694443.0
1750651200000,5964.0,6081.5,5959.0,6077.0,1358034.0
1750737600000,6078.0,6155.25,6075.25,6146.25,1077333.0
1750824000000,6144.75,6160.25,6130.75,6147.0,902500.0
1750910400000,6144.75,6200.0,6141.25,6195.0,1039428.0
1750996800000,6197.5,6239.0,6183.25,6223.75,1353399.0
1751256000000,6223.25,6265.5,6223.25,6253.75,1364101.0
1751342400000,6245.75,6261.5,6227.25,6248.75,1320618.0
1751428800000,6247.75,6279.5,6235.5,6275.0,1044261.0
1751549400000,6276.5,6333.25,6270.5,6324.25,0.0
1751601600000,6320.75,6322.75,6276.5,6283.5,0.0
1751860800000,6307.75,6315.0,6246.25,6276.0,1376613.0
1751947200000,6262.5,6289.0,6254.5,6272.0,1073914.0
1752033600000,6272.0,6315.25,6260.0,6307.25,1144723.0
1752120000000,6306.0,6335.5,6287.5,6324.25,948393.0
1752206400000,6323.0,6330.25,6276.75,6300.0,1100047.0
1752465600000,6274.0,6315.0,6259.75,6311.0,909223.0
1752552000000,6309.5,6343.0,6272.5,6284.0,1279068.0
1752638400000,6273.75,6308.75,6241.0,6303.25,1462969.0
1752724800000,6299.25,6345.5,6288.25,6340.5,1052843.0
1752811200000,6342.5,6357.0,6323.25,6334.75,1050307.0
1753070400000,6335.75,6374.0,6329.75,6344.75,934271.0
1753156800000,6347.0,6353.75,6318.75,6346.75,1130356.0
1753243200000,6346.5,6407.25,6342.75,6396.25,1203541.0
1753329600000,6404.0,6418.25,6391.5,6401.5,1073595.0
1753416000000,6406.75,6431.0,6401.0,6425.0,829856.0
1753675200000,6450.0,6457.75,6408.75,6422.75,972646.0
1753761600000,6424.25,6442.5,6396.25,6406.0,1122508.0
1753848000000,6404.0,6435.25,6366.75,6396.25,1302795.0
1753934400000,6435.5,6468.5,6357.5,6374.25,1857020.0
1754020800000,6359.5,6373.5,6239.5,6264.5,2287699.0
1754280000000,6257.0,6370.0,6251.25,6356.0,1304652.0
1754366400000,6370.0,6377.5,6315.5,6325.25,1402448.0
1754452800000,6323.0,6379.5,6313.25,6371.0,1233346.0
1754539200000,6371.0,6426.75,6334.5,6366.5,1458573.0
1754625600000,6372.5,6425.75,6369.25,6413.5,1196497.0
1754884800000,6422.75,6431.5,6387.5,6399.75,1073359.0
1754971200000,6396.0,6470.0,6391.25,6468.5,1271180.0
1755057600000,6468.0,6502.5,6461.0,6488.75,1111683.0
1755144000000,6485.0,6496.0,6453.25,6490.5,1186070.0
1755230400000,6489.25,6508.75,6461.5,6471.5,1122157.0
1755489600000,6467.0,6484.25,6456.0,6469.25,860451.0
1755576000000,6468.5,6477.5,6419.25,6432.5,1224317.0
1755662400000,6433.0,6438.0,6362.75,6413.25,1609469.0
1755748800000,6414.25,6419.0,6370.25,6388.25,1200689.0
1755835200000,6392.0,6496.25,6364.0,6483.25,1420723.0
1756094400000,6493.0,6494.0,6453.0,6455.5,932515.0
1756180800000,6460.25,6487.5,6430.75,6482.5,1133761.0
1756267200000,6486.75,6505.5,6459.25,6496.0,957730.0
1756353600000,6485.0,6523.0,6471.0,6517.5,1170397.0
1756440000000,6516.0,6518.0,6455.5,6472.75,0.0
1756785600000,6478.75,6491.5,6371.75,6425.5,1802584.0
1756872000000,6448.0,6464.25,6425.5,6457.25,1435997.0
1756958400000,6460.0,6516.75,6454.5,6510.75,1186477.0
1757044800000,6515.75,6541.75,6452.0,6489.75,1710784.0
1757304000000,6483.75,6516.5,6480.25,6506.0,1187985.0
1757390400000,6507.75,6536.25,6489.25,6521.75,1169514.0
1757476800000,6532.25,6565.25,6522.5,6539.75,1381759.0
1757563200000,6535.75,6600.0,6535.5,6592.5,1282669.0
1757649600000,6596.25,6606.0,6576.0,6588.25,1601056.0
1757908800000,6588.25,6623.5,6585.25,6621.5,1539732.0
